Experience ID,Month,Is Available,Average Monthly Bookings
EXP_100000,2025-01,True,111
EXP_100000,2025-02,True,68
EXP_100000,2025-03,True,102
EXP_100000,2025-04,True,94
EXP_100000,2025-05,True,42
EXP_100000,2025-06,True,50
EXP_100000,2025-07,True,83
EXP_100000,2025-08,True,78
EXP_100000,2025-09,True,69
EXP_100000,2025-10,True,58
EXP_100000,2025-11,True,86
EXP_100000,2025-12,True,92
EXP_100001,2025-01,True,51
EXP_100001,2025-02,True,73
EXP_100001,2025-03,True,74
EXP_100001,2025-04,True,59
EXP_100001,2025-05,True,90
EXP_100001,2025-06,True,67
EXP_100001,2025-07,True,113
EXP_100001,2025-08,True,82
EXP_100001,2025-09,True,72
EXP_100001,2025-10,True,53
EXP_100001,2025-11,True,67
EXP_100001,2025-12,True,44
EXP_100002,2025-01,True,56
EXP_100002,2025-02,True,59
EXP_100002,2025-03,True,76
EXP_100002,2025-04,True,77
EXP_100002,2025-05,True,80
EXP_100002,2025-06,True,73
EXP_100002,2025-07,True,101
EXP_100002,2025-08,True,50
EXP_100002,2025-09,True,61
EXP_100002,2025-10,True,56
EXP_100002,2025-11,True,72
EXP_100002,2025-12,True,80
EXP_100003,2025-01,True,51
EXP_100003,2025-02,True,47
EXP_100003,2025-03,True,60
EXP_100003,2025-04,True,105
EXP_100003,2025-05,True,118
EXP_100003,2025-06,True,119
EXP_100003,2025-07,True,118
EXP_100003,2025-08,True,119
EXP_100003,2025-09,True,108
EXP_100003,2025-10,True,75
EXP_100003,2025-11,True,55
EXP_100003,2025-12,True,36
EXP_100004,2025-01,True,89
EXP_100004,2025-02,True,80
EXP_100004,2025-03,True,94
EXP_100004,2025-04,True,109
EXP_100004,2025-05,True,69
EXP_100004,2025-06,True,94
EXP_100004,2025-07,True,93
EXP_100004,2025-08,True,85
EXP_100004,2025-09,True,88
EXP_100004,2025-10,True,124
EXP_100004,2025-11,True,60
EXP_100004,2025-12,True,90
EXP_100005,2025-01,True,39
EXP_100005,2025-02,True,59
EXP_100005,2025-03,True,82
EXP_100005,2025-04,True,106
EXP_100005,2025-05,True,118
EXP_100005,2025-06,True,127
EXP_100005,2025-07,True,122
EXP_100005,2025-08,True,99
EXP_100005,2025-09,True,130
EXP_100005,2025-10,True,72
EXP_100005,2025-11,True,37
EXP_100005,2025-12,True,31
EXP_100006,2025-01,True,62
EXP_100006,2025-02,True,78
EXP_100006,2025-03,True,69
EXP_100006,2025-04,True,71
EXP_100006,2025-05,True,51
EXP_100006,2025-06,True,59
EXP_100006,2025-07,True,75
EXP_100006,2025-08,True,62
EXP_100006,2025-09,True,63
EXP_100006,2025-10,True,49
EXP_100006,2025-11,True,52
EXP_100006,2025-12,True,55
EXP_100007,2025-01,True,91
EXP_100007,2025-02,True,123
EXP_100007,2025-03,True,94
EXP_100007,2025-04,True,93
EXP_100007,2025-05,True,101
EXP_100007,2025-06,True,104
EXP_100007,2025-07,True,121
EXP_100007,2025-08,True,105
EXP_100007,2025-09,True,84
EXP_100007,2025-10,True,93
EXP_100007,2025-11,True,60
EXP_100007,2025-12,True,67
EXP_100008,2025-01,False,0
EXP_100008,2025-02,False,0
EXP_100008,2025-03,True,209
EXP_100008,2025-04,True,164
EXP_100008,2025-05,True,167
EXP_100008,2025-06,True,190
EXP_100008,2025-07,False,0
EXP_100008,2025-08,True,149
EXP_100008,2025-09,True,143
EXP_100008,2025-10,True,173
EXP_100008,2025-11,False,0
EXP_100008,2025-12,False,0
EXP_100009,2025-01,True,133
EXP_100009,2025-02,True,62
EXP_100009,2025-03,True,103
EXP_100009,2025-04,True,87
EXP_100009,2025-05,True,68
EXP_100009,2025-06,True,57
EXP_100009,2025-07,True,92
EXP_100009,2025-08,True,83
EXP_100009,2025-09,True,87
EXP_100009,2025-10,True,84
EXP_100009,2025-11,True,121
EXP_100009,2025-12,True,80
EXP_100010,2025-01,True,70
EXP_100010,2025-02,True,98
EXP_100010,2025-03,True,101
EXP_100010,2025-04,True,144
EXP_100010,2025-05,True,130
EXP_100010,2025-06,True,104
EXP_100010,2025-07,True,121
EXP_100010,2025-08,True,58
EXP_100010,2025-09,True,86
EXP_100010,2025-10,True,79
EXP_100010,2025-11,True,80
EXP_100010,2025-12,True,61
EXP_100011,2025-01,True,118
EXP_100011,2025-02,True,80
EXP_100011,2025-03,True,56
EXP_100011,2025-04,True,52
EXP_100011,2025-05,True,69
EXP_100011,2025-06,True,83
EXP_100011,2025-07,True,127
EXP_100011,2025-08,True,171
EXP_100011,2025-09,True,74
EXP_100011,2025-10,True,54
EXP_100011,2025-11,True,39
EXP_100011,2025-12,True,75
EXP_100012,2025-01,True,47
EXP_100012,2025-02,True,57
EXP_100012,2025-03,True,59
EXP_100012,2025-04,True,70
EXP_100012,2025-05,True,96
EXP_100012,2025-06,True,81
EXP_100012,2025-07,True,82
EXP_100012,2025-08,True,61
EXP_100012,2025-09,True,45
EXP_100012,2025-10,True,54
EXP_100012,2025-11,True,48
EXP_100012,2025-12,True,77
EXP_100013,2025-01,True,60
EXP_100013,2025-02,True,79
EXP_100013,2025-03,True,62
EXP_100013,2025-04,True,56
EXP_100013,2025-05,True,64
EXP_100013,2025-06,True,70
EXP_100013,2025-07,True,148
EXP_100013,2025-08,True,67
EXP_100013,2025-09,True,95
EXP_100013,2025-10,True,54
EXP_100013,2025-11,True,72
EXP_100013,2025-12,True,60
EXP_100014,2025-01,True,54
EXP_100014,2025-02,True,59
EXP_100014,2025-03,True,60
EXP_100014,2025-04,True,90
EXP_100014,2025-05,True,76
EXP_100014,2025-06,True,66
EXP_100014,2025-07,True,80
EXP_100014,2025-08,True,99
EXP_100014,2025-09,True,133
EXP_100014,2025-10,True,71
EXP_100014,2025-11,True,48
EXP_100014,2025-12,True,44
EXP_100015,2025-01,True,75
EXP_100015,2025-02,True,63
EXP_100015,2025-03,True,60
EXP_100015,2025-04,True,93
EXP_100015,2025-05,True,81
EXP_100015,2025-06,True,113
EXP_100015,2025-07,True,91
EXP_100015,2025-08,True,58
EXP_100015,2025-09,True,48
EXP_100015,2025-10,True,87
EXP_100015,2025-11,True,67
EXP_100015,2025-12,True,43
EXP_100016,2025-01,True,60
EXP_100016,2025-02,True,107
EXP_100016,2025-03,True,66
EXP_100016,2025-04,True,75
EXP_100016,2025-05,True,100
EXP_100016,2025-06,True,58
EXP_100016,2025-07,True,53
EXP_100016,2025-08,True,56
EXP_100016,2025-09,True,91
EXP_100016,2025-10,True,120
EXP_100016,2025-11,True,66
EXP_100016,2025-12,True,67
EXP_100017,2025-01,True,58
EXP_100017,2025-02,True,99
EXP_100017,2025-03,True,84
EXP_100017,2025-04,True,81
EXP_100017,2025-05,True,91
EXP_100017,2025-06,True,94
EXP_100017,2025-07,True,113
EXP_100017,2025-08,True,60
EXP_100017,2025-09,True,109
EXP_100017,2025-10,True,94
EXP_100017,2025-11,True,87
EXP_100017,2025-12,True,119
EXP_100018,2025-01,True,46
EXP_100018,2025-02,True,70
EXP_100018,2025-03,True,64
EXP_100018,2025-04,True,75
EXP_100018,2025-05,True,106
EXP_100018,2025-06,True,144
EXP_100018,2025-07,True,156
EXP_100018,2025-08,True,105
EXP_100018,2025-09,True,112
EXP_100018,2025-10,True,77
EXP_100018,2025-11,True,71
EXP_100018,2025-12,True,50
EXP_100019,2025-01,True,103
EXP_100019,2025-02,True,103
EXP_100019,2025-03,True,74
EXP_100019,2025-04,True,79
EXP_100019,2025-05,True,95
EXP_100019,2025-06,True,124
EXP_100019,2025-07,True,86
EXP_100019,2025-08,True,92
EXP_100019,2025-09,True,53
EXP_100019,2025-10,True,90
EXP_100019,2025-11,True,69
EXP_100019,2025-12,True,84
EXP_100020,2025-01,True,26
EXP_100020,2025-02,True,35
EXP_100020,2025-03,True,31
EXP_100020,2025-04,True,42
EXP_100020,2025-05,True,115
EXP_100020,2025-06,True,53
EXP_100020,2025-07,True,79
EXP_100020,2025-08,True,127
EXP_100020,2025-09,True,152
EXP_100020,2025-10,True,34
EXP_100020,2025-11,True,23
EXP_100020,2025-12,True,20
EXP_100021,2025-01,True,113
EXP_100021,2025-02,True,63
EXP_100021,2025-03,True,84
EXP_100021,2025-04,True,114
EXP_100021,2025-05,True,108
EXP_100021,2025-06,True,93
EXP_100021,2025-07,True,110
EXP_100021,2025-08,True,74
EXP_100021,2025-09,True,84
EXP_100021,2025-10,True,72
EXP_100021,2025-11,True,63
EXP_100021,2025-12,True,53
EXP_100022,2025-01,True,62
EXP_100022,2025-02,True,77
EXP_100022,2025-03,True,76
EXP_100022,2025-04,True,93
EXP_100022,2025-05,True,93
EXP_100022,2025-06,True,96
EXP_100022,2025-07,True,103
EXP_100022,2025-08,True,111
EXP_100022,2025-09,True,95
EXP_100022,2025-10,True,118
EXP_100022,2025-11,True,70
EXP_100022,2025-12,True,42
EXP_100023,2025-01,True,37
EXP_100023,2025-02,True,36
EXP_100023,2025-03,True,71
EXP_100023,2025-04,True,60
EXP_100023,2025-05,True,67
EXP_100023,2025-06,True,40
EXP_100023,2025-07,True,80
EXP_100023,2025-08,True,67
EXP_100023,2025-09,True,43
EXP_100023,2025-10,True,46
EXP_100023,2025-11,True,48
EXP_100023,2025-12,True,43
EXP_100024,2025-01,True,60
EXP_100024,2025-02,True,67
EXP_100024,2025-03,True,76
EXP_100024,2025-04,True,96
EXP_100024,2025-05,True,142
EXP_100024,2025-06,True,54
EXP_100024,2025-07,True,119
EXP_100024,2025-08,True,114
EXP_100024,2025-09,True,111
EXP_100024,2025-10,True,72
EXP_100024,2025-11,True,36
EXP_100024,2025-12,True,51
EXP_100025,2025-01,True,166
EXP_100025,2025-02,True,66
EXP_100025,2025-03,True,118
EXP_100025,2025-04,True,80
EXP_100025,2025-05,True,81
EXP_100025,2025-06,True,64
EXP_100025,2025-07,True,84
EXP_100025,2025-08,True,131
EXP_100025,2025-09,True,96
EXP_100025,2025-10,True,130
EXP_100025,2025-11,True,111
EXP_100025,2025-12,True,98
EXP_100026,2025-01,True,83
EXP_100026,2025-02,True,69
EXP_100026,2025-03,True,93
EXP_100026,2025-04,True,86
EXP_100026,2025-05,True,111
EXP_100026,2025-06,True,104
EXP_100026,2025-07,True,170
EXP_100026,2025-08,True,93
EXP_100026,2025-09,True,131
EXP_100026,2025-10,True,77
EXP_100026,2025-11,True,69
EXP_100026,2025-12,True,54
EXP_100027,2025-01,True,54
EXP_100027,2025-02,True,50
EXP_100027,2025-03,True,37
EXP_100027,2025-04,True,72
EXP_100027,2025-05,True,68
EXP_100027,2025-06,True,96
EXP_100027,2025-07,True,174
EXP_100027,2025-08,True,129
EXP_100027,2025-09,True,75
EXP_100027,2025-10,True,47
EXP_100027,2025-11,True,33
EXP_100027,2025-12,True,20
EXP_100028,2025-01,True,39
EXP_100028,2025-02,True,56
EXP_100028,2025-03,True,93
EXP_100028,2025-04,True,102
EXP_100028,2025-05,True,55
EXP_100028,2025-06,True,113
EXP_100028,2025-07,True,154
EXP_100028,2025-08,True,128
EXP_100028,2025-09,True,159
EXP_100028,2025-10,True,39
EXP_100028,2025-11,True,32
EXP_100028,2025-12,True,31
EXP_100029,2025-01,True,34
EXP_100029,2025-02,True,81
EXP_100029,2025-03,True,77
EXP_100029,2025-04,True,104
EXP_100029,2025-05,True,79
EXP_100029,2025-06,True,119
EXP_100029,2025-07,True,168
EXP_100029,2025-08,True,111
EXP_100029,2025-09,True,104
EXP_100029,2025-10,True,72
EXP_100029,2025-11,True,34
EXP_100029,2025-12,True,32
EXP_100030,2025-01,False,0
EXP_100030,2025-02,False,0
EXP_100030,2025-03,True,125
EXP_100030,2025-04,False,0
EXP_100030,2025-05,True,125
EXP_100030,2025-06,True,198
EXP_100030,2025-07,True,152
EXP_100030,2025-08,True,120
EXP_100030,2025-09,True,145
EXP_100030,2025-10,True,115
