Experience ID,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
EXP_100000,0.8752167341052141,0.595746663027787,0.768525530434516,0.7027463041444619,0.41229742355489984,0.46279612898564576,0.6639453272724688,0.6262523088646459,0.5382909314760489,0.467389797554055,0.6510476235991105,0.6436396828641019
EXP_100001,0.5262828961760428,0.6504043200394827,0.6865076068821955,0.6609301663512114,0.8363777985970527,0.6924443476662149,0.9481965301695262,0.7327480663813303,0.6780870710021034,0.5455877310209645,0.5533997995302308,0.40178924102086166
EXP_100002,0.6591988449178208,0.6558348567508702,0.7389964796546782,0.8214588602770809,0.80556856782618,0.7500738765776277,0.9078708792172184,0.56231789540205,0.673756915003383,0.6276097310939872,0.6711552119371794,0.7111814112397352
EXP_100003,0.3265737183324223,0.3273800743648258,0.4265538856486659,0.7446450238387148,0.8000128277657179,0.7717392417440908,0.915124695316259,0.7580137638209046,0.7967898858011925,0.4692914657955195,0.32268954271448086,0.18131796933059474
EXP_100004,0.685960191751971,0.6498910257598753,0.7483595676118059,0.8748455575044584,0.6925270766523078,0.7914245946427075,0.7983573749592462,0.7086660097491704,0.7215459867015532,0.8638301845661422,0.4880403278884809,0.603428343979503
EXP_100005,0.24951358136704746,0.36267508933514137,0.5024129847834015,0.7045071143889563,0.7497242114859527,0.7579079351096735,0.8832778212162853,0.6150902619279462,0.8521925986526337,0.42349705559302847,0.21626209362247745,0.14292350189338462
EXP_100006,0.7522717862382832,0.8279298584869869,0.747965480029376,0.7407512457966327,0.577400858608755,0.6461751643975947,0.7920822070553668,0.6814944644914123,0.6498136291153641,0.5307313669763701,0.5862523132362429,0.5694988950451834
EXP_100007,0.7019047626716873,0.7809278961339154,0.6308858571549847,0.5813551101166623,0.5985101460711598,0.6204169156738022,0.790995503235402,0.7625443887238524,0.532449140677971,0.5713674139336614,0.42552634109529697,0.4434251449066368
EXP_100008,0.3051064769244015,0.3253361802503462,0.9510443941565078,0.7996956851078413,0.7849241269369752,0.8079502278338526,0.2597029878258035,0.6620931581127865,0.7305100327052125,0.7841200593968147,0.22066908175180358,0.17339044806335727
EXP_100009,0.8578349404523369,0.46097060230062464,0.637004358022117,0.5202433769079001,0.4127934940111369,0.37051096110645193,0.6159770682599945,0.6249330758146021,0.5151927699699134,0.4967363584502377,0.6784365895019495,0.47746159583681097
